Sample_idx,Station,Depth,Model_He,Model_Ne,Model_Ar,Model_Kr,Model_Xe,Model_He err,Model_Ne err,Model_Ar err,Model_Kr err,Model_Xe err
37.0,20.0,1478.651821,4.1164860684450916e-08,1.829597608048498e-07,0.00038328889251327137,9.391789954782569e-08,1.4332825688596578e-08,3.4851204251595566e-10,1.2193978261555793e-09,5.095012766513848e-06,1.497951545738017e-09,2.4351975685475963e-10
38.0,20.0,1969.280111,4.1471958824664616e-08,1.9153351225530044e-07,0.0003948680103714925,9.634288633255709e-08,1.4359509149665768e-08,8.249544686939718e-10,2.977867930263135e-09,9.825895300754108e-06,2.875985253663981e-09,4.668409298438883e-10
39.0,20.0,2458.615708,4.056391103261844e-08,1.830504609487961e-07,0.0003864755608008533,9.482570882561341e-08,1.4395845255114881e-08,5.645573510919533e-10,2.0061228968092043e-09,8.501521101136922e-06,2.503314071760153e-09,4.082326340924367e-10
3.0,5.0,494.5481263,4.0454474326174135e-08,1.7767936871130555e-07,0.0003651351449001313,8.86824608712647e-08,1.3409729720179963e-08,5.767279163034221e-10,1.9452244658086377e-09,8.81912277016992e-06,2.5743347375254505e-09,4.078347367716358e-10
40.0,20.0,3434.110064,4.157237265682427e-08,1.8209259623811817e-07,0.0003831325342895087,9.40931700114624e-08,1.4528446713781838e-08,6.81989268921153e-10,2.4507499442873067e-09,9.48752894061211e-06,2.7979381153601837e-09,4.684456616717581e-10
41.0,20.0,3917.840037,4.1666852430795224e-08,1.8501690502730778e-07,0.00038925763850594923,9.564869204486414e-08,1.4676647852003584e-08,1.1959833211622824e-09,4.205789498571403e-09,2.1095540237750887e-05,6.226903802377439e-09,1.0177424959265125e-09
42.0,20.0,4236.283477,4.1622391457309637e-08,1.840387736701188e-07,0.0003870259532495298,9.506622824434161e-08,1.4609668332354617e-08,4.761652455691716e-10,1.7522258708227908e-09,7.256826277433036e-06,2.14463212529627e-09,3.6104730065000807e-10
43.0,28.0,29.70348762,4.3641031800961336e-08,2.0122992872993987e-07,0.00043734616258480014,1.0876351913276943e-07,1.6771464629684456e-08,6.14500372024769e-10,2.0656869654728327e-09,9.810468326553434e-06,2.9026622739488944e-09,4.6553259066573016e-10
44.0,28.0,98.86296446,4.26617696285834e-08,1.907479892660354e-07,0.00040010705039650416,9.835105689008355e-08,1.5059591107396355e-08,5.719828458704946e-10,1.9064771607355778e-09,8.792920930003146e-06,2.5851994892970534e-09,4.11695998422713e-10
45.0,28.0,296.7734392,4.09756192812687e-08,1.8091493084958735e-07,0.0003706338217728307,9.00499211806036e-08,1.3591807328472599e-08,7.238639710256813e-10,2.429013514268458e-09,8.418064615181886e-06,2.442936390517728e-09,3.803654596010802e-10
46.0,28.0,494.0627661,4.246024127049521e-08,1.8974344313036414e-07,0.0003811535847465453,9.23423758522992e-08,1.380751603494241e-08,4.898627258458239e-10,1.570003011424798e-09,6.785434406234052e-06,1.9692032448259505e-09,3.0349349264651736e-10
47.0,28.0,691.5625298,4.0228481733610384e-08,1.7999431999917431e-07,0.00037718469128048844,9.220186810405258e-08,1.3965495993977514e-08,4.445372174761613e-10,1.5497683565166118e-09,6.16888511107916e-06,1.8078609202817005e-09,2.908337357919966e-10
48.0,28.0,986.8709085,4.15184148186609e-08,1.9315079220758985e-07,0.0003863410498747016,9.323887891026392e-08,1.3638715070446963e-08,6.255730642487639e-10,2.1270687653335374e-09,9.116634077491471e-06,2.654442569994384e-09,4.1906671593781574e-10
49.0,28.0,1478.721042,4.078763019324671e-08,1.8250579899473462e-07,0.00038250568978804537,9.365668870330228e-08,1.422681362095988e-08,5.660097837724696e-10,2.0046505392100984e-09,8.475302028987575e-06,2.4925986807829597e-09,4.064729743633962e-10
4.0,5.0,692.0560526,4.0437920515754426e-08,1.7956331263527082e-07,0.00037323111803589455,9.102137667761128e-08,1.3783619500917638e-08,5.212337045953866e-10,1.7861882305791445e-09,6.718345078258542e-06,1.961753377342812e-09,3.1193782155371885e-10
50.0,28.0,1969.18078,4.137135380598671e-08,1.8386423096799187e-07,0.00038359243404493886,9.391336456952694e-08,1.4312744330573505e-08,3.505679714405234e-10,1.22245932268445e-09,5.094347583224028e-06,1.4968529763112607e-09,2.429294401711537e-10
51.0,28.0,2458.645822,3.844519874895223e-08,1.7903767094754078e-07,0.00038606593904116373,9.490439860432806e-08,1.424082419454985e-08,5.986522829151765e-10,1.993309272120583e-09,9.219523633536414e-06,2.701531157431608e-09,4.19616429867331e-10
52.0,28.0,2946.913091,4.190383647306615e-08,1.8406806413323397e-07,0.00038498905481124275,9.444900788833816e-08,1.4533783193144593e-08,5.081762432581705e-10,1.7331633919701093e-09,6.5915035030021676e-06,1.9344033155992984e-09,3.113354654182562e-10
53.0,28.0,3936.544852,4.2274379683043044e-08,1.8663273022583307e-07,0.0003859845555869509,9.442914359796927e-08,1.4424186787766564e-08,5.369667798857966e-10,1.8370527014615057e-09,7.01843090316777e-06,2.056748364865243e-09,3.308761584204174e-10
54.0,46.0,29.77446549,4.552167498736904e-08,2.066329905446541e-07,0.00043669732723478446,1.0801178640993623e-07,1.66331596809912e-08,6.203120917795801e-10,2.050723699250949e-09,9.547469507969004e-06,2.815421009849617e-09,4.5056927483343054e-10
55.0,46.0,98.7922838,4.345542020627302e-08,1.895399029301867e-07,0.0004004376711123377,9.8801702109877e-08,1.5434714388892927e-08,1.3314724690947933e-09,4.761591016433293e-09,2.3796144412750916e-05,7.0463340509162966e-09,1.171492945043402e-09
56.0,46.0,296.5428446,4.1697241924141765e-08,1.8143401624452712e-07,0.00036902633267485614,8.95862566022337e-08,1.360400923259346e-08,7.207468429357396e-10,2.4530603486409298e-09,8.735640650158944e-06,2.544084444574254e-09,4.064059915666147e-10
57.0,46.0,494.3120733,4.0459573004454115e-08,1.7939497619703444e-07,0.00037078765826904656,9.024769174505641e-08,1.3631712635849642e-08,4.12335702940983e-10,1.4207783907683288e-09,5.447977079750379e-06,1.5904826442035475e-09,2.5393200964076247e-10
58.0,46.0,691.4833316,4.150352258812863e-08,1.8454126048571535e-07,0.000377426951080255,9.178979665977704e-08,1.3832985105940046e-08,4.2046849741909426e-10,1.443854333199355e-09,5.512069860035062e-06,1.6087823641039372e-09,2.5686433325227273e-10
59.0,46.0,985.5203409,4.2354959986529375e-08,1.8925981119191566e-07,0.0003848584898737103,9.36256727897016e-08,1.4090183713006331e-08,4.2444702091499346e-10,1.4379565636058102e-09,5.8347318363604905e-06,1.7040297027885394e-09,2.7103744689438187e-10
5.0,5.0,987.4908462,4.106652902966341e-08,1.8243144430064174e-07,0.0003791133000092148,9.260963169154048e-08,1.4062779878856297e-08,4.0864932691171037e-10,1.4154971629770841e-09,5.567641055804695e-06,1.6311236538274104e-09,2.6269949858505274e-10
60.0,46.0,2458.666699,4.286059747632619e-08,1.851156925592994e-07,0.0003850518748270982,9.44803043376192e-08,1.468128273609817e-08,5.603094498874286e-10,1.9536580498406712e-09,6.931872114574114e-06,2.039265436318605e-09,3.395940835620014e-10
61.0,46.0,2946.955137,4.3036292561701034e-08,1.8979102476212106e-07,0.0003867653045493814,9.431617854887832e-08,1.4340492149411428e-08,3.5207241005056337e-10,1.219795462401591e-09,5.222037109606336e-06,1.5328370936522755e-09,2.4955951127123965e-10
6.0,5.0,1478.968168,4.105251607210769e-08,1.815297662112665e-07,0.0003831379077619845,9.408182798641709e-08,1.4448758812447331e-08,4.1045831384777917e-10,1.4396952639764943e-09,6.376111346222836e-06,1.878281196805512e-09,3.0628342189993247e-10
7.0,5.0,1969.315623,4.125649861321013e-08,1.8325661827320423e-07,0.0003856956202565017,9.468066589092952e-08,1.4499622471110775e-08,4.260073256563339e-10,1.4991761242482157e-09,5.848290438212827e-06,1.7207168255710279e-09,2.8156136010754337e-10
8.0,5.0,2458.758942,4.287840976031482e-08,1.8906983204282663e-07,0.00038902310570995295,9.514712420616769e-08,1.4538821433795393e-08,3.224311974059203e-10,1.1276477142733659e-09,4.347717511404187e-06,1.2772954281989954e-09,2.0942398566706417e-10
9.0,5.0,2947.597802,4.301232801517319e-08,1.887048626135865e-07,0.0003889424377115986,9.520897825846841e-08,1.4607246584952235e-08,6.144288706418561e-10,2.1380480701299298e-09,8.331796790808472e-06,2.448732789522161e-09,4.014056210927584e-10
